,Marca temporal,¿Qué edad tienes?,¿Con que género te identificas?,¿A qué rama pertenece la licenciatura que actualmente estudias?,¿Qué tan importante es la educación de ciberseguridad para ti?,¿Cuál crees que es la cuestión más importante en temas de educación de ciberseguridad?,¿Para qué usas el internet?,¿Para qué usas el internet?.1,¿Para qué usas el internet?.2,¿Para qué usas el internet?.3,¿Para qué usas el internet?.4,Selecciona las redes sociales que utilizas en tu día a día,Selecciona las redes sociales que utilizas en tu día a día.1,Selecciona las redes sociales que utilizas en tu día a día.2,Selecciona las redes sociales que utilizas en tu día a día.3,Selecciona las redes sociales que utilizas en tu día a día.4,Selecciona las redes sociales que utilizas en tu día a día.5,Selecciona las plataformas de streaming que utilizas en tu día a día,Selecciona las plataformas de streaming que utilizas en tu día a día.1,Selecciona las plataformas de streaming que utilizas en tu día a día.2,Selecciona las plataformas de streaming que utilizas en tu día a día.3,Selecciona las plataformas de streaming que utilizas en tu día a día.4,Selecciona las plataformas de streaming que utilizas en tu día a día.5,Selecciona las plataformas de streaming que utilizas en tu día a día.6,¿Cuántas horas en promedio pasas en plataformas de streaming al día? ,Selecciona la plataforma de videojuegos que más utilizas,Selecciona las plataformas educativas que utilizas en tu día a día,Selecciona las plataformas educativas que utilizas en tu día a día.1,Selecciona las plataformas educativas que utilizas en tu día a día.2,Selecciona las plataformas educativas que utilizas en tu día a día.3,¿Dónde consideras que existe mayor riesgo de amenazas y/o ciber ataques?,¿Alguna vez has sido víctima de alguna amenaza cibernética? ,¿Cuántas horas en promedio pasas en redes sociales al día? ,¿Usas las redes sociales como apoyo en tus estudios universitarios? ,¿Qué páginas usas para tus estudios?,¿Qué páginas usas para tus estudios?.1,¿Qué páginas usas para tus estudios?.2,¿Qué páginas usas para tus estudios?.3,¿Qué páginas usas para tus estudios?.4,¿Cuál crees que es el mayor beneficio de las redes sociales en tus estudios ?,¿Qué tan familiarizado estas con las amenazas cibernéticas? ,¿Cuál crees que es la mayor amenaza para ti cuando te conectas?,Señala si has recibido alguna de estas amenazas  cibernéticas:,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,¿Alguna vez has agregado a una persona que no conocías en una red social o en alguna plataforma de videojuegos?,¿En dónde agregaste a una persona desconocida? Selecciona todas las opciones que apliquen.,¿En dónde agregaste a una persona desconocida? Selecciona todas las opciones que apliquen..1,¿En dónde agregaste a una persona desconocida? Selecciona todas las opciones que apliquen..2,¿En dónde agregaste a una persona desconocida? Selecciona todas las opciones que apliquen..3,¿En dónde agregaste a una persona desconocida? Selecciona todas las opciones que apliquen..4,¿A cuántas personas? ,¿Compartiste información sensibles con ellos?,¿Fuiste víctima de alguna de estas opciones?,¿Fuiste víctima de alguna de estas opciones?.1,¿Fuiste víctima de alguna de estas opciones?.2,¿Fuiste víctima de alguna de estas opciones?.3,"¿Has recibido un mensaje directo sospechoso por redes sociales pidiéndote que le des click a un link, descargues un archivo o proporciones datos personales como datos bancarios?",¿Hiciste lo que se te pedía en el mensaje?,¿Reportaste la cuenta?,¿Lees los avisos de privacidad de las páginas en las que navegas? ,¿Utilizas la misma contraseña para tus diferentes cuentas electrónicas?,¿Con qué frecuencia cambias tus contraseña  si no te obliga la pagina? ,¿Utilizas un administrador de contraseñas (Autofill)?,¿Tomas medidas y acciones  para mantener en privacidad tus datos? ,¿Cuáles medidas tomas?,¿Cuáles medidas tomas?.1,¿Cuáles medidas tomas?.2,¿Cuáles medidas tomas?.3,¿Cuáles medidas tomas?.4,¿Cuáles medidas tomas?.5,¿Qué percepción tienes acerca de los peligros que puedes correr en línea?
36,18/11/2021 23:21:19,28,2,30,31,32,Redes Sociales,82,,,,34,,,,,,7,35,113,,,,,1-2 horas,64,56,,,,Navegación web,40,63,24,14,67,89,,,43,44,70,92,,,,,40,,,,,,,,,,,,24,40,40,75,24,109,24,24,Tapar tu cámara cuando no la estés usando,,,,,,54
37,18/11/2021 23:22:25,28,29,Ingeniería,4,32,Redes Sociales,33,60,82,56,6,34,TikTok,,,,7,35,Claro Video,,,,,3-4 horas,103,103,,,,66,40,63,40,,,,,,,105,17,92,,,,,24,6,34,TikTok,,,93,24,103,,,,24,40,40,95,40,76,40,24,77,97,110,,,,54
38,18/11/2021 23:23:26,1,2,30,31,32,Redes Sociales,33,82,,,6,34,61,TikTok,,,7,,,,,,,8,103,10,38,56,,11,40,36,24,14,42,,,,43,69,45,46,,,,,24,34,,,,,21,40,103,,,,24,40,40,108,24,96,40,24,110,Tapar tu cámara cuando no la estés usando,,,,,54
39,18/11/2021 23:26:22,1,2,30,4,5,Redes Sociales,82,,,,6,34,61,TikTok,,,7,35,Claro Video,102,113,,,3-4 horas,103,56,,,,11,24,85,24,14,67,,,,90,69,17,92,106,,,,24,34,,,,,48,40,103,,,,24,40,24,95,24,76,24,40,,,,,,,54
40,18/11/2021 23:34:25,28,2,3,31,32,Redes Sociales,33,,,,6,34,61,TikTok,,,7,,,,,,,8,103,103,,,,Navegación web,40,63,24,42,,,,,90,91,56,92,115,,,,24,6,,,,,21,40,103,,,,24,40,24,95,24,96,24,40,,,,,,,78
41,18/11/2021 23:41:21,1,2,3,31,59,Redes Sociales,33,82,,,34,TikTok,,,,,7,35,102,113,,,,3-4 horas,103,38,,,,11,40,63,24,42,67,,,,43,69,45,92,,,,,40,,,,,,,,,,,,40,,,75,24,96,24,40,,,,,,,54
42,19/11/2021 0:34:16,28,29,3,31,32,Redes Sociales,60,82,,,6,34,,,,,7,35,102,113,,,,1-2 horas,Play Station,65,,,,66,24,36,40,,,,,,,91,56,92,106,115,,,24,34,,,,,48,40,49,74,94,,24,40,24,75,40,109,24,24,53,77,110,Tapar tu cámara cuando no la estés usando,,,54
43,19/11/2021 7:14:55,28,2,30,4,32,Redes Sociales,33,82,,,6,34,61,TikTok,,,7,35,113,,,,,8,103,56,,,,11,40,63,24,14,42,67,,,15,69,56,116,,,,,24,6,34,,,,48,40,103,,,,24,40,40,95,40,109,24,40,,,,,,,118
44,19/11/2021 8:48:23,1,2,30,4,32,Redes Sociales,33,82,,,6,34,61,TikTok,,,7,35,102,113,,,,1-2 horas,103,56,,,,11,40,63,24,14,67,89,,,15,44,70,116,,,,,40,,,,,,,,,,,,40,,,108,24,109,40,24,53,110,Tapar tu cámara cuando no la estés usando,,,,54
45,19/11/2021 8:52:08,28,2,56,31,32,Redes Sociales,,,,,6,34,61,,,,7,35,,,,,,1-2 horas,64,103,,,,11,40,63,24,89,,,,,15,69,17,92,,,,,24,6,34,61,TikTok,,21,40,103,,,,24,40,24,108,40,109,24,24,53,,,,,,54
46,19/11/2021 10:03:46,28,2,56,4,32,Redes Sociales,33,82,56,,6,34,61,,,,7,35,113,,,,,3-4 horas,9,103,,,,11,40,85,24,89,,,,,43,44,70,92,,,,,24,6,34,,,,73,40,22,,,,24,40,40,108,24,109,40,24,97,,,,,,98
47,19/11/2021 10:10:15,28,2,30,31,59,Redes Sociales,33,82,,,6,,,,,,7,102,113,,,,,1-2 horas,103,56,,,,11,40,36,24,42,,,,,15,44,45,46,92,,,,40,,,,,,,,,,,,24,40,24,108,24,109,24,40,,,,,,,98
48,19/11/2021 10:26:11,28,29,Ingeniería,4,32,Redes Sociales,33,60,56,,6,34,61,,,,7,35,102,113,,,,1-2 horas,37,65,,,,11,24,36,40,,,,,,,91,56,71,92,,,,24,6,34,,,,73,40,103,,,,24,40,40,75,40,96,24,40,,,,,,,98
49,19/11/2021 10:58:20,55,29,30,4,32,Redes Sociales,33,82,,,6,34,61,,,,7,35,,,,,,8,37,38,,,,Navegación web,40,63,40,,,,,,,91,56,18,92,106,,,24,6,56,,,,21,40,103,,,,40,,,95,24,109,24,24,53,97,110,,,,98
50,19/11/2021 11:26:47,1,29,3,4,5,Redes Sociales,33,60,82,56,61,,,,,,7,102,,,,,,1-2 horas,37,10,38,56,,Navegación web,40,8,24,14,42,67,89,56,90,69,70,92,115,,,,40,,,,,,,,,,,,24,40,24,75,40,109,40,24,53,77,97,110,Tapar tu cámara cuando no la estés usando,56,54
51,19/11/2021 11:31:18,28,29,3,4,32,Redes Sociales,33,60,,,34,61,,,,,7,35,102,56,,,,1-2 horas,Play Station,103,,,,Navegación web,40,8,40,,,,,,,69,70,92,,,,,24,6,56,,,,21,40,103,,,,24,40,40,108,24,96,24,24,53,110,,,,,54
52,19/11/2021 12:00:04,28,29,Ingeniería,4,32,Redes Sociales,33,60,82,,6,34,61,TikTok,,,103,,,,,,,8,Play Station,56,,,,11,24,85,24,14,,,,,Comunicación entre profesores y estudiantes,105,56,92,106,115,,,40,,,,,,,,,,,,24,40,24,95,40,109,40,24,26,110,Tapar tu cámara cuando no la estés usando,,,,27
53,19/11/2021 12:05:32,28,29,3,4,32,Redes Sociales,60,82,56,,6,34,61,,,,7,56,,,,,,1-2 horas,Play Station,56,,,,66,24,36,40,,,,,,,69,56,92,,,,,24,6,,,,,21,40,103,,,,24,40,40,108,24,109,40,24,53,97,,,,,54
54,19/11/2021 12:08:45,28,2,3,31,59,Redes Sociales,33,82,,,6,34,61,TikTok,Snapchat,,7,35,113,56,,,,1-2 horas,64,56,,,,Navegación web,40,63,24,14,42,67,89,,56,91,70,18,46,71,92,115,24,6,34,61,TikTok,,93,24,Otra,,,,24,40,40,108,24,109,24,40,,,,,,,98
55,19/11/2021 12:11:06,28,2,30,31,32,Redes Sociales,82,,,,6,34,61,TikTok,56,,7,102,,,,,,85,103,65,56,,,11,40,85,40,,,,,,,91,70,71,,,,,24,6,34,61,TikTok,,93,40,103,,,,24,40,24,75,40,109,24,24,53,,,,,,98
56,19/11/2021 12:11:17,28,29,3,31,32,Redes Sociales,82,,,,6,34,61,TikTok,56,,7,35,84,102,113,56,,1-2 horas,103,56,,,,11,40,85,24,89,,,,,90,44,70,106,,,,,24,6,34,56,,,93,40,103,,,,24,40,40,108,40,52,24,24,26,97,,,,,118
57,19/11/2021 12:20:48,28,29,Ingeniería,31,5,Redes Sociales,33,60,82,,6,34,,,,,7,35,113,,,,,1-2 horas,Play Station,38,,,,Navegación web,24,36,40,,,,,,,91,70,92,106,115,,,24,6,34,56,,,48,40,103,,,,24,40,24,23,40,76,24,24,26,77,110,Tapar tu cámara cuando no la estés usando,,,54
58,19/11/2021 12:20:56,28,29,3,4,5,Redes Sociales,33,60,82,,6,34,61,TikTok,,,103,,,,,,,8,37,56,,,,66,24,85,24,14,,,,,15,91,56,71,92,115,,,24,6,34,,,,93,40,74,,,,24,40,40,108,40,109,24,24,53,97,110,,,,54
59,19/11/2021 12:31:58,28,29,Ingeniería,31,5,Redes Sociales,33,82,,,6,34,,,,,7,,,,,,,8,64,10,38,,,11,40,63,24,42,67,,,,Comunicación entre profesores y estudiantes,69,70,106,,,,,40,,,,,,,,,,,,24,40,40,95,24,96,40,24,110,Tapar tu cámara cuando no la estés usando,,,,,98
60,19/11/2021 12:32:47,1,2,Ingeniería,31,32,Redes Sociales,82,56,,,34,61,TikTok,,,,7,,,,,,,8,103,38,56,,,Navegación web,40,36,24,14,42,,,,15,44,70,92,,,,,24,6,,,,,73,40,Otra,103,,,24,40,24,95,24,52,24,40,,,,,,,54
61,19/11/2021 12:35:45,55,2,Ingeniería,31,59,Redes Sociales,82,,,,6,34,61,TikTok,56,,7,35,Claro Video,102,,,,3-4 horas,37,38,,,,66,40,63,24,42,56,,,,Comunicación entre profesores y estudiantes,44,70,46,92,,,,24,6,34,61,,,21,40,Otra,,,,24,40,40,108,24,96,40,40,,,,,,,78
62,19/11/2021 12:40:06,28,29,Ingeniería,4,32,Redes Sociales,60,82,,,6,34,,,,,103,,,,,,,8,9,10,56,,,Navegación web,40,63,24,42,89,,,,Comunicación entre profesores y estudiantes,91,56,116,,,,,40,,,,,,,,,,,,24,40,24,50,40,96,40,24,53,110,Tapar tu cámara cuando no la estés usando,,,,54
63,19/11/2021 12:42:27,28,2,Ingeniería,31,32,Redes Sociales,33,82,56,,34,61,56,,,,7,35,102,113,56,,,1-2 horas,103,38,,,,88,40,63,40,,,,,,,69,56,92,115,,,,24,6,34,61,,,93,40,103,,,,24,40,40,108,40,76,24,40,,,,,,,98
64,19/11/2021 12:53:34,28,2,56,31,59,Redes Sociales,33,82,,,6,34,61,56,,,7,35,102,113,,,,8,103,103,,,,11,40,63,24,14,67,89,,,15,44,70,92,,,,,24,61,,,,,93,40,103,,,,40,,,95,24,96,24,40,,,,,,,98
65,19/11/2021 13:19:56,1,2,Ingeniería,58,32,Redes Sociales,82,,,,6,34,TikTok,,,,7,35,102,113,,,,1-2 horas,103,10,,,,104,40,63,40,,,,,,,16,70,92,,,,,40,,,,,,,,,,,,24,40,24,108,40,109,24,40,,,,,,,78
66,19/11/2021 13:24:46,55,2,Ingeniería,31,32,Redes Sociales,33,60,82,,6,34,61,,,,7,35,102,113,,,,1-2 horas,64,38,,,,11,40,8,40,,,,,,,69,56,18,92,,,,24,6,,,,,21,40,49,,,,24,40,40,95,24,109,24,40,,,,,,,98
67,19/11/2021 14:18:16,55,29,Ingeniería,4,32,Redes Sociales,33,82,,,6,34,,,,,7,102,,,,,,1-2 horas,37,56,,,,Navegación web,40,36,24,56,,,,,15,69,56,92,,,,,40,,,,,,,,,,,,24,40,40,95,40,109,40,40,,,,,,,54
68,19/11/2021 14:19:42,1,29,3,31,32,Redes Sociales,33,82,,,34,61,Snapchat,,,,7,35,,,,,,8,37,10,,,,11,24,36,40,,,,,,,69,17,18,46,71,92,106,24,56,,,,,93,24,103,,,,24,40,24,108,24,96,24,40,,,,,,,98
69,19/11/2021 14:36:07,28,2,56,31,32,Redes Sociales,82,56,,,6,34,61,TikTok,,,7,35,102,,,,,1-2 horas,37,65,,,,11,40,63,24,42,,,,,43,69,45,116,,,,,24,6,34,,,,21,40,103,,,,24,40,24,95,24,109,24,40,,,,,,,54
70,19/11/2021 14:41:28,28,2,Ingeniería,31,32,Redes Sociales,82,56,,,6,34,TikTok,56,,,7,35,102,113,,,,3-4 horas,64,65,56,,,88,40,63,40,,,,,,,91,70,46,,,,,24,6,34,61,,,48,40,103,,,,40,,,50,40,76,40,40,,,,,,,54
71,19/11/2021 14:44:27,28,2,Ingeniería,4,32,Redes Sociales,82,,,,34,61,,,,,7,113,,,,,,8,103,103,,,,11,40,85,24,14,42,67,89,,56,69,70,46,92,,,,40,,,,,,,,,,,,24,40,40,108,40,109,40,24,53,97,110,Tapar tu cámara cuando no la estés usando,,,27
72,19/11/2021 15:47:26,28,29,Ingeniería,31,32,Redes Sociales,82,56,,,6,34,61,,,,7,102,,,,,,8,37,38,,,,104,40,36,24,42,67,,,,15,44,17,92,,,,,24,6,,,,,21,40,103,,,,40,,,95,24,109,24,40,,,,,,,118
73,19/11/2021 16:45:52,55,29,30,31,32,Redes Sociales,82,,,,34,,,,,,7,35,113,,,,,8,103,103,,,,104,40,63,24,14,42,67,,,Comunicación entre profesores y estudiantes,69,70,71,106,115,,,24,6,34,61,56,,73,40,103,,,,24,40,24,108,40,96,24,40,,,,,,,54
74,20/11/2021 1:19:38,28,29,56,31,59,Redes Sociales,33,82,,,6,34,61,,,,7,35,,,,,,8,103,56,,,,11,40,36,40,,,,,,,16,56,92,,,,,24,6,34,,,,93,40,103,,,,40,,,95,40,96,24,24,53,97,,,,,98
75,20/11/2021 12:29:33,1,2,3,31,32,Redes Sociales,60,82,,,34,61,TikTok,,,,7,,,,,,,8,64,10,38,56,,11,40,36,40,,,,,,,69,70,18,92,115,,,40,,,,,,,,,,,,24,40,24,95,24,76,40,24,26,97,110,Tapar tu cámara cuando no la estés usando,,,54
76,22/11/2021 10:15:19,28,29,3,58,5,Redes Sociales,,,,,6,34,61,,,,7,35,102,113,,,,1-2 horas,37,103,,,,11,24,85,40,,,,,,,44,45,18,46,71,115,,24,6,34,61,,,93,40,22,49,,,24,40,24,108,40,109,40,40,,,,,,,78
77,22/11/2021 13:40:48,28,2,56,4,32,56,,,,,6,34,61,,,,7,113,,,,,,85,56,56,,,,11,40,85,24,67,,,,,Comunicación entre profesores y estudiantes,16,45,71,92,,,,24,6,,,,,93,40,Otra,,,,24,24,24,75,24,109,40,24,53,97,,,,,54
78,22/11/2021 14:27:59,28,29,30,4,32,Redes Sociales,33,60,,,34,61,,,,,7,35,102,113,,,,3-4 horas,37,103,,,,11,40,63,24,14,67,89,,,Comunicación entre profesores y estudiantes,69,56,92,,,,,24,6,,,,,21,40,103,,,,40,,,75,40,52,40,24,26,53,97,,,,98
79,22/11/2021 14:59:37,28,29,Ingeniería,31,32,Redes Sociales,60,82,,,6,34,,,,,7,113,,,,,,1-2 horas,64,38,,,,Navegación web,40,8,40,,,,,,,69,70,92,,,,,24,56,,,,,48,40,103,,,,40,,,75,40,109,24,24,53,97,110,,,,54
80,22/11/2021 16:02:20,28,2,Ingeniería,31,32,Redes Sociales,33,,,,34,TikTok,Snapchat,,,,7,113,56,,,,,3-4 horas,103,56,,,,11,40,36,24,42,89,,,,15,44,70,92,,,,,40,,,,,,,,,,,,24,40,40,108,40,109,40,24,53,97,110,,,,54
81,22/11/2021 20:11:16,55,2,3,4,32,Redes Sociales,,,,,6,34,61,,,,7,35,102,113,56,,,1-2 horas,64,56,,,,88,40,8,40,,,,,,,91,70,116,,,,,40,,,,,,,,,,,,40,,,95,24,109,40,24,53,97,110,,,,54
82,23/11/2021 9:21:50,28,2,3,31,32,Redes Sociales,33,82,,,34,TikTok,,,,,7,35,102,113,,,,1-2 horas,64,10,,,,11,40,63,24,42,67,,,,90,91,56,116,,,,,40,,,,,,,,,,,,40,,,95,24,96,24,24,97,110,,,,,54
83,23/11/2021 9:42:26,28,2,30,4,32,Redes Sociales,56,,,,34,TikTok,Snapchat,,,,7,113,,,,,,1-2 horas,103,103,,,,Navegación web,40,63,24,42,89,,,,43,44,56,92,115,,,,24,6,34,,,,21,40,74,,,,40,,,95,40,109,24,24,97,110,Tapar tu cámara cuando no la estés usando,,,,54
84,23/11/2021 9:47:53,28,2,30,4,32,Redes Sociales,33,56,,,34,,,,,,7,,,,,,,8,64,10,,,,11,40,8,40,,,,,,,69,70,18,46,92,,,24,6,34,,,,21,40,103,,,,24,40,24,95,40,109,24,24,53,97,110,Tapar tu cámara cuando no la estés usando,,,54
85,23/11/2021 9:48:26,28,2,30,4,32,Redes Sociales,33,60,82,,6,34,61,,,,7,35,,,,,,1-2 horas,9,38,,,,11,40,85,24,14,42,67,89,,15,44,17,18,46,92,,,24,34,56,,,,21,40,103,,,,24,40,24,75,40,96,40,24,26,53,77,97,110,,54
86,23/11/2021 9:48:39,28,2,30,58,32,Redes Sociales,82,,,,6,34,61,,,,7,35,102,113,,,,3-4 horas,103,103,,,,11,40,85,24,67,,,,,Comunicación entre profesores y estudiantes,16,70,92,,,,,24,6,,,,,21,40,103,,,,40,,,108,40,109,24,40,,,,,,,98
87,23/11/2021 10:14:28,1,29,56,58,5,Redes Sociales,60,82,,,34,61,TikTok,,,,56,,,,,,,8,9,10,38,,,66,24,63,24,42,89,56,,,15,44,70,18,92,106,115,,24,56,,,,,21,24,103,,,,24,40,40,95,40,109,40,24,53,97,110,,,,118
88,23/11/2021 10:19:50,1,29,Ingeniería,4,5,Redes Sociales,33,60,82,,6,34,61,TikTok,,,7,35,113,56,,,,1-2 horas,9,10,38,65,56,Navegación web,24,36,24,42,67,89,,,43,105,70,71,106,115,,,24,6,34,61,TikTok,56,93,24,22,49,74,94,24,40,24,50,24,52,24,24,26,53,110,,,,54
89,23/11/2021 10:24:21,1,2,56,31,32,Redes Sociales,82,,,,6,34,Snapchat,,,,7,35,113,,,,,1-2 horas,103,103,,,,Navegación web,40,85,24,14,89,,,,Comunicación entre profesores y estudiantes,44,70,116,,,,,40,,,,,,,,,,,,40,,,108,24,96,24,40,,,,,,,54
90,23/11/2021 10:35:33,1,29,30,31,5,Redes Sociales,33,82,56,,6,34,61,TikTok,Snapchat,56,7,35,102,113,56,,,1-2 horas,103,10,56,,,Navegación web,40,63,24,14,42,67,89,,15,91,45,71,92,115,,,24,6,34,61,TikTok,,93,40,103,,,,24,40,24,75,40,96,40,24,26,53,97,110,,,54
91,23/11/2021 10:41:56,28,29,56,4,32,Redes Sociales,33,82,56,,34,61,TikTok,,,,7,35,102,,,,,1-2 horas,37,103,,,,66,40,63,24,67,,,,,15,44,70,92,,,,,24,6,34,TikTok,,,93,40,103,,,,40,,,108,40,109,24,40,,,,,,,54
92,23/11/2021 10:47:09,28,2,56,31,32,Redes Sociales,33,82,56,,6,34,,,,,7,35,84,102,113,,,8,64,56,,,,Navegación web,40,8,40,,,,,,,69,45,116,,,,,40,,,,,,,,,,,,24,40,40,75,40,96,24,24,97,110,Tapar tu cámara cuando no la estés usando,,,,54
93,23/11/2021 11:04:35,28,2,56,4,32,Redes Sociales,33,60,82,,6,34,61,TikTok,Snapchat,,7,35,Claro Video,84,102,113,,1-2 horas,Play Station,56,,,,Navegación web,40,36,24,14,89,,,,15,91,70,92,,,,,24,6,34,TikTok,,,93,40,103,,,,24,40,40,108,40,109,24,24,53,97,110,,,,54
94,23/11/2021 12:34:02,28,29,30,4,32,Redes Sociales,33,82,56,,6,34,61,,,,7,35,102,,,,,8,103,56,,,,104,40,85,24,14,42,89,,,15,44,70,92,,,,,24,56,,,,,93,24,103,,,,24,40,40,108,40,109,24,24,97,110,Tapar tu cámara cuando no la estés usando,,,,98
