,Marca temporal,¿Qué edad tienes?,¿Con que género te identificas?,¿A qué rama pertenece la licenciatura que actualmente estudias?,¿Qué tan importante es la educación de ciberseguridad para ti?,¿Cuál crees que es la cuestión más importante en temas de educación de ciberseguridad?,¿Para qué usas el internet?,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Selecciona las redes sociales que utilizas en tu día a día,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Selecciona las plataformas de streaming que utilizas en tu día a día,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,¿Cuántas horas en promedio pasas en plataformas de streaming al día? ,Selecciona la plataforma de videojuegos que más utilizas,Selecciona las plataformas educativas que utilizas en tu día a día,Unnamed: 27,Unnamed: 28,Unnamed: 29,¿Dónde consideras que existe mayor riesgo de amenazas y/o ciber ataques?,¿Alguna vez has sido víctima de alguna amenaza cibernética? ,¿Cuántas horas en promedio pasas en redes sociales al día? ,¿Usas las redes sociales como apoyo en tus estudios universitarios? ,¿Qué páginas usas para tus estudios?,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,¿Cuál crees que es el mayor beneficio de las redes sociales en tus estudios ?,¿Qué tan familiarizado estas con las amenazas cibernéticas? ,¿Cuál crees que es la mayor amenaza para ti cuando te conectas?,Señala si has recibido alguna de estas amenazas  cibernéticas:,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,¿Alguna vez has agregado a una persona que no conocías en una red social o en alguna plataforma de videojuegos?,¿En dónde agregaste a una persona desconocida? Selecciona todas las opciones que apliquen.,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,¿A cuántas personas? ,¿Compartiste información sensibles con ellos?,¿Fuiste víctima de alguna de estas opciones?,Unnamed: 56,Unnamed: 57,Unnamed: 58,"¿Has recibido un mensaje directo sospechoso por redes sociales pidiéndote que le des click a un link, descargues un archivo o proporciones datos personales como datos bancarios?",¿Hiciste lo que se te pedía en el mensaje?,¿Reportaste la cuenta?,¿Lees los avisos de privacidad de las páginas en las que navegas? ,¿Utilizas la misma contraseña para tus diferentes cuentas electrónicas?,¿Con qué frecuencia cambias tus contraseña  si no te obliga la pagina? ,¿Utilizas un administrador de contraseñas (Autofill)?,¿Tomas medidas y acciones  para mantener en privacidad tus datos? ,¿Cuáles medidas tomas?,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,¿Qué percepción tienes acerca de los peligros que puedes correr en línea?
131,2/12/2021 19:24:33,17-20,Femenino,Ciencias Sociales,Importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,,,,Facebook,Instagram,Twitter,,,,Netflix,Amazon Prime,,,,,,Menos de 1 hora,38,25,,,,Redes sociales,56,Entre 1 y 2 horas,62,,,,,,,Nada,Intimidación o acoso por parte de amigos o conocidos,Ciber acoso,Ciber bullying,,,,61,Instagram,,,,,1 a 3,62.0,Extorsión,,,,55,56.0,56.0,Nunca,102,Más de 2 años,102,102,,,,,,,Los considero importantes
132,2/12/2021 19:24:35,17-20,Masculino,Ciencia,Importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,Streaming,Videojuegos,Plataformas educativas,,Facebook,Instagram,Twitter,TikTok,Snapchat,,Netflix,Amazon Prime,HBO Max,Disney +,,,,1-2 horas,PC,38,,,,Redes sociales,56,Entre 3 y 4 horas,61,Noticieros/periódicos,Tutoriales o crash courses,Revistas científicas o similares,Una página de un profesionista influyente en tu área,,Comunicación entre profesores y estudiantes,Regular,Intimidación o acoso por parte de amigos o conocidos,No aplica,,,,,61,Facebook,,,,,1 a 3,62.0,95,,,,55,56.0,56.0,A veces,101,Más de 2 años,101,102,,,,,,,Los considero importantes
133,2/12/2021 19:27:14,21-24,Masculino,Ciencias Sociales,Poco importante,"Evitar ciber acoso, ciber bullying, entre otros",Redes Sociales,Streaming,Videojuegos,25,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,3-4 horas,Xbox,38,,,,Redes sociales,56,Entre 3 y 4 horas,61,Noticieros/periódicos,Tutoriales o crash courses,,,,Colaboración de proyectos,Muy poco,Intimidación o acoso por parte de amigos o conocidos,Spam,Spoofing,,,,61,Facebook,,,,,1 a 3,62.0,95,,,,55,56.0,56.0,Nunca,101,Más de 2 años,102,102,,,,,,,Conozco los peligros pero no me afectan
134,2/12/2021 19:27:49,21-24,Femenino,Ingeniería,Muy importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,,,,,Facebook,Instagram,,,,,Netflix,HBO Max,Disney +,,,,,1-2 horas,38,38,,,,Redes sociales,56,Entre 1 y 2 horas,61,Tutoriales o crash courses,Una página de un profesionista influyente en tu área,,,,Videos,Muy poco,Que alguien use tus fotos de manera inapropiada,Spam,,,,,61,Instagram,,,,,4 a 6,62.0,95,,,,56,,,Casi nunca,102,Más de 2 años,101,102,,,,,,,Los considero importantes
135,2/12/2021 19:28:35,21-24,Femenino,Ciencias Sociales,No es importante,Proteger información personal en linea,Redes Sociales,Plataformas educativas,,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,3-4 horas,38,Chegg,,,,E-mail,56,Más de 4 horas,61,Noticieros/periódicos,Tutoriales o crash courses,Revistas científicas o similares,,,Videos,Muy poco,Intimidación o acoso por parte de amigos o conocidos,Spam,,,,,62,,,,,,,,,,,,56,,,Nunca,101,Más de 2 años,101,102,,,,,,,Los considero importantes
136,2/12/2021 19:39:12,21-24,Masculino,11,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Videojuegos,Plataformas educativas,,Instagram,Twitter,TikTok,,,,Netflix,,,,,,,Menos de 1 hora,Xbox,Coursera,25,,,Redes sociales,56,Entre 1 y 2 horas,61,Tutoriales o crash courses,Una página de un profesionista influyente en tu área,,,,Descarga de documentos,Algo,20,No aplica,,,,,61,31,,,,,1 a 3,62.0,95,,,,55,56.0,55.0,Nunca,102,1 a 2 años,101,101,VF2 (autentificación de dos pasos),Checar que la conexión sea segura antes de hacer pagos en línea,,,,,Conozco los peligros pero no me afectan
137,2/12/2021 19:41:29,21-24,Masculino,Ingeniería,Importante,Proteger información personal en linea,Redes Sociales,Videojuegos,Plataformas educativas,,,Instagram,Twitter,31,,,,Netflix,Disney +,25,,,,,1-2 horas,PC,38,,,,Navegación web,56,Entre 1 y 2 horas,62,,,,,,,Algo,20,No aplica,,,,,61,Instagram,31,,,,1 a 3,62.0,95,,,,55,56.0,55.0,Casi nunca,101,1 a 6 meses,102,101,Cambio constante de contraseñas,Checar que la conexión sea segura antes de hacer pagos en línea,,,,,Los considero importantes
138,2/12/2021 19:47:22,17-20,Masculino,11,Poco importante,Prevenir accesos de tus cuentas sin permiso,Redes Sociales,Plataformas educativas,,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Amazon Prime,HBO Max,Disney +,,,,Más de 4 horas,38,Khan Academy,,,,Navegación web,56,Más de 4 horas,61,Noticieros/periódicos,Tutoriales o crash courses,,,,Colaboración de proyectos,Regular,Avances sexuales no deseados por redes sociales,Ciber bullying,Robo de identidad,Spam,Phishing,,61,Facebook,,,,,1 a 3,62.0,Negocio pirámide (Pyramid scheme),,,,56,,,Casi siempre,102,1 a 6 meses,102,102,,,,,,,Me son indiferentes
139,2/12/2021 19:59:20,21-24,Femenino,Ciencia,Muy importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,Twitter,TikTok,,,Netflix,Disney +,,,,,,Menos de 1 hora,38,25,,,,Redes sociales,56,Entre 3 y 4 horas,61,Tutoriales o crash courses,,,,,Descarga de documentos,Regular,20,Spam,,,,,61,Instagram,Twitter,TikTok,,,4 a 6,62.0,95,,,,56,,,Casi nunca,102,Más de 2 años,101,101,VF2 (autentificación de dos pasos),Tengo antivirus descargado en mi dispositivo,Checar que la conexión sea segura antes de hacer pagos en línea,Tapar tu cámara cuando no la estés usando,,,Los considero importantes
140,2/12/2021 20:00:07,21-24,Masculino,Humanidades,Importante,Proteger información personal en linea,Redes Sociales,Streaming,Plataformas educativas,,,Facebook,Instagram,Snapchat,,,,Netflix,Amazon Prime,HBO Max,Disney +,25,,,3-4 horas,25,Khan Academy,,,,Redes sociales,56,Más de 4 horas,62,,,,,,,Regular,20,Ciber bullying,Spam,,,,61,Facebook,Instagram,,,,11 o más,61.0,95,,,,55,56.0,55.0,Nunca,101,Más de 2 años,102,102,,,,,,,Me son indiferentes
